Date,BND,XLC,VTV
1928-11-05,,15686.9100000000,9.5813371765
1928-11-07,,15898.6300000000,9.7396539766
1928-11-08,,15849.2800000000,9.7188852578
1928-11-09,,15880.9300000000,9.8008200103
1928-11-12,,15887.2200000000,9.8907232949
1928-11-13,,15841.0900000000,9.9035049931
1928-11-14,,15837.8600000000,9.9623291535
1928-11-15,,15840.9800000000,10.0119522168
1928-11-16,,16469.8100000000,10.2204344087
1928-11-19,,16575.7400000000,10.2583974080
1928-11-20,,16610.4900000000,10.4028909926
1928-11-21,,16281.5500000000,10.2174269504
1928-11-22,,16382.4300000000,10.3353525983
1928-11-23,,16339.7800000000,10.3712633770
